Water(ml),Date,year,month,day_of_the_week,hour,day,day_suffix
500,30 March 2024,2024,March,Sat,19: 00,30,30th
500,30 March 2024,2024,March,Sat,17: 00,30,30th
750,30 March 2024,2024,March,Sat,15: 00,30,30th
600,30 March 2024,2024,March,Sat,11: 00,30,30th
750,30 March 2024,2024,March,Sat,10: 00,30,30th
100,30 March 2024,2024,March,Sat,10: 00,30,30th
600,30 March 2024,2024,March,Sat,10: 00,30,30th
600,30 March 2024,2024,March,Sat,07: 00,30,30th
750,30 March 2024,2024,March,Sat,07: 00,30,30th
600,30 March 2024,2024,March,Sat,04: 00,30,30th
500,30 March 2024,2024,March,Sat,03: 00,30,30th
600,30 March 2024,2024,March,Sat,02: 00,30,30th
600,30 March 2024,2024,March,Sat,02: 00,30,30th
600,28 March 2024,2024,March,Thu,20: 00,28,28th
500,28 March 2024,2024,March,Thu,13: 00,28,28th
600,28 March 2024,2024,March,Thu,10: 00,28,28th
500,28 March 2024,2024,March,Thu,08: 00,28,28th
500,28 March 2024,2024,March,Thu,08: 00,28,28th
500,28 March 2024,2024,March,Thu,06: 00,28,28th
500,28 March 2024,2024,March,Thu,00: 00,28,28th
500,25 March 2024,2024,March,Mon,18: 00,25,25th
500,25 March 2024,2024,March,Mon,08: 00,25,25th
500,23 March 2024,2024,March,Sat,22: 00,23,23rd
500,23 March 2024,2024,March,Sat,20: 00,23,23rd
500,23 March 2024,2024,March,Sat,17: 00,23,23rd
500,23 March 2024,2024,March,Sat,16: 00,23,23rd
500,23 March 2024,2024,March,Sat,15: 00,23,23rd
500,23 March 2024,2024,March,Sat,13: 00,23,23rd
600,20 March 2024,2024,March,Wed,21: 00,20,20th
600,19 March 2024,2024,March,Tue,18: 00,19,19th
500,19 March 2024,2024,March,Tue,11: 00,19,19th
500,19 March 2024,2024,March,Tue,09: 00,19,19th
500,19 March 2024,2024,March,Tue,04: 00,19,19th
500,17 March 2024,2024,March,Sun,21: 00,17,17th
500,17 March 2024,2024,March,Sun,20: 00,17,17th
500,17 March 2024,2024,March,Sun,18: 00,17,17th
500,17 March 2024,2024,March,Sun,07: 00,17,17th
500,17 March 2024,2024,March,Sun,00: 00,17,17th
600,16 March 2024,2024,March,Sat,21: 00,16,16th
600,16 March 2024,2024,March,Sat,20: 00,16,16th
600,16 March 2024,2024,March,Sat,07: 00,16,16th
600,16 March 2024,2024,March,Sat,04: 00,16,16th
100,16 March 2024,2024,March,Sat,02: 00,16,16th
600,14 March 2024,2024,March,Thu,18: 00,14,14th
600,14 March 2024,2024,March,Thu,16: 00,14,14th
600,14 March 2024,2024,March,Thu,12: 00,14,14th
600,14 March 2024,2024,March,Thu,12: 00,14,14th
600,14 March 2024,2024,March,Thu,01: 00,14,14th
600,11 March 2024,2024,March,Mon,21: 00,11,11th
600,11 March 2024,2024,March,Mon,21: 00,11,11th
750,11 March 2024,2024,March,Mon,15: 00,11,11th
600,11 March 2024,2024,March,Mon,11: 00,11,11th
600,11 March 2024,2024,March,Mon,05: 00,11,11th
400,11 March 2024,2024,March,Mon,03: 00,11,11th
500,11 March 2024,2024,March,Mon,01: 00,11,11th
600,11 March 2024,2024,March,Mon,00: 00,11,11th
400,11 March 2024,2024,March,Mon,00: 00,11,11th
750,11 March 2024,2024,March,Mon,00: 00,11,11th
600,09 March 2024,2024,March,Sat,11: 00,9,9th
600,09 March 2024,2024,March,Sat,09: 00,9,9th
600,08 March 2024,2024,March,Fri,18: 00,8,8th
500,08 March 2024,2024,March,Fri,17: 00,8,8th
600,08 March 2024,2024,March,Fri,16: 00,8,8th
500,08 March 2024,2024,March,Fri,12: 00,8,8th
500,08 March 2024,2024,March,Fri,09: 00,8,8th
500,08 March 2024,2024,March,Fri,00: 00,8,8th
600,06 March 2024,2024,March,Wed,00: 00,6,6th
400,05 March 2024,2024,March,Tue,17: 00,5,5th
750,05 March 2024,2024,March,Tue,10: 00,5,5th
500,05 March 2024,2024,March,Tue,10: 00,5,5th
500,05 March 2024,2024,March,Tue,09: 00,5,5th
500,04 March 2024,2024,March,Mon,15: 00,4,4th
750,04 March 2024,2024,March,Mon,03: 00,4,4th
750,02 March 2024,2024,March,Sat,12: 00,2,2nd
500,01 March 2024,2024,March,Fri,08: 00,1,1st
500,01 March 2024,2024,March,Fri,03: 00,1,1st
300,01 March 2024,2024,March,Fri,02: 00,1,1st
500,29 February 2024,2024,February,Thu,21: 00,29,29th
500,29 February 2024,2024,February,Thu,14: 00,29,29th
500,29 February 2024,2024,February,Thu,09: 00,29,29th
400,28 February 2024,2024,February,Wed,23: 00,28,28th
600,28 February 2024,2024,February,Wed,18: 00,28,28th
400,28 February 2024,2024,February,Wed,17: 00,28,28th
500,28 February 2024,2024,February,Wed,15: 00,28,28th
600,28 February 2024,2024,February,Wed,08: 00,28,28th
600,28 February 2024,2024,February,Wed,07: 00,28,28th
500,28 February 2024,2024,February,Wed,07: 00,28,28th
150,28 February 2024,2024,February,Wed,05: 00,28,28th
500,28 February 2024,2024,February,Wed,03: 00,28,28th
100,28 February 2024,2024,February,Wed,01: 00,28,28th
100,28 February 2024,2024,February,Wed,00: 00,28,28th
600,26 February 2024,2024,February,Mon,17: 00,26,26th
500,25 February 2024,2024,February,Sun,16: 00,25,25th
